Date Time,Stock,Exchange,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
2004. 04,798.8,1167.7,3.4883879874789914,,,,23.340734888507136,,,,-0.029999999999999805,,SO
2004. 05,771.6,1165.7,3.762991770167212,,,,22.21645500220708,,,,-0.020000000000000018,,SO
2004. 06,746.1,1152.5,3.950888263941299,,,,21.349379907949153,,,,-0.020000000000000018,,SO
2004. 07,770.3,1168.3,4.1107302350354535,,,,20.41237428761812,,,,0.0,,SO
2004. 08,835.9,1153.8,3.9850020980819467,,,,15.523421794738425,,,,-0.1499999999999999,,SO
2004. 09,849.1,1147.9,3.9814451672234075,,,,14.250242216867742,,,,-0.2400000000000002,,SO
2004. 10,863.1,1126.0,4.159961051079875,-0.8116883116883078,-4.158415841584162,,13.381105678530561,,,,-0.2400000000000002,,SO
2004. 11,873.1,1047.9,3.0847325263569036,-0.6535947712418388,-3.7999999999999923,,10.658572340323838,,,,-0.41999999999999993,,SO
2004. 12,903.4,1043.8,2.539877957392145,-0.6557377049180357,-4.417670682730912,,10.220119041928964,,,,-0.5,,SO
2005. 01,964.5,1026.4,3.073745919658899,-1.6286644951140072,-5.400000000000005,,8.33072625698324,,,,-0.3500000000000001,,SO
2005. 02,988.2,1008.1,2.5074232926426854,-1.1345218800648316,-5.765407554671964,,7.046922313473331,,,,-0.2599999999999998,,SO
2005. 03,955.4,1024.3,3.111915360128914,-1.2882447665056418,-5.367793240556651,,6.056477719703212,,,,-0.2799999999999998,,SO
2005. 04,939.0,1002.5,3.022104915869339,-0.3215434083601365,-4.780876494023911,,4.956459444489743,,,,-0.10000000000000009,,SO
2005. 05,991.3,1002.5,2.9191685912240084,0.8051529790660261,-3.822937625754541,,3.9306531561293676,,,,0.020000000000000018,,SO
2005. 06,1058.7,1024.4,1.9925753938582869,2.9079159935379684,-2.8340080971659853,,2.560427133912331,,,,0.009999999999999787,,SO
2005. 07,1101.8,1028.3,1.619348875958404,5.528455284552858,-1.4314928425357754,,0.5430662434314677,,,,-0.020000000000000018,,SO
2005. 08,1171.0,1031.0,1.7350137214353634,6.362153344208821,-0.2057613168724326,,-1.1032347127839324,,,,0.0,,SO
2005. 09,1190.9,1038.0,1.9657487113569516,6.873977086743044,1.8595041322313932,,-1.3663066918208568,,,,-0.009999999999999787,,SO
2005. 10,1253.3,1042.7,2.476489028213158,7.401315789473695,3.7422037422037313,,-2.5993673964568567,,,,0.14000000000000012,,SO
2005. 11,1338.8,1036.3,2.0815389032443177,7.920792079207928,5.672268907563005,,-3.8178394199166075,,,,0.2200000000000002,,SO
2005. 12,1379.3,1013.0,1.4141309686926506,8.940397350993369,6.553911205074003,,-0.32892460209236996,,,,0.43999999999999995,,SO
2006. 01,1341.7,971.0,1.5075635661409903,8.688524590163937,7.1729957805907185,,-0.877110154552073,,,,0.5,,SO
2006. 02,1331.7,969.0,1.3001985524883075,9.135399673735733,7.773109243697474,,-9.184888366561417,,,,0.6699999999999999,,SO
2006. 03,1415.9,975.9,1.6998654967014692,9.677419354838701,8.995815899581604,,-9.33806951891203,,,,0.54,,SO
2006. 04,1388.8,945.7,2.0016156538910312,11.0223642172524,10.251046025104603,,-9.440824577631696,,,,0.4700000000000002,,SO
2006. 05,1249.2,947.4,2.4102273896491555,11.145996860282569,10.624999999999996,,-9.286216271687753,,,,0.27,,SO
2006. 06,1278.0,960.3,1.8010632165503138,9.86132511556239,10.373443983402497,,-8.645741453526128,,,,0.41000000000000014,,SO
2006. 07,1316.1,953.1,1.8959103054166926,9.662576687116564,9.896907216494832,,-7.9829078957356865,,,,0.29000000000000004,,SO
2006. 08,1356.5,959.6,2.088294092929077,9.800918836140893,8.519269776876271,,-10.675629581103989,,,,0.43999999999999995,,SO
