Date Time,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
1993. 03,3.799442665224806,,,,,,,,-2.369999999999999,,GW
1993. 04,4.5718220515816865,,,,,,,,0.5600000000000005,,GW
1993. 05,5.274407493556277,,,,,,,,2.8100000000000005,,GW
1993. 06,4.482435108933602,,,,,,,,2.539999999999999,,GW
1993. 07,4.797958845004979,,,,,,,,1.8100000000000005,,GW
1993. 08,6.028646908280377,,,,,,,,1.0199999999999996,,GW
1993. 09,4.926556872900911,,,,,,,,-1.4800000000000004,,GW
1993. 10,6.299784226340521,,,,,,,,-2.459999999999999,,GW
1993. 11,6.361809045226119,,,,,,,,-2.9299999999999997,,GW
1993. 12,6.023419955085019,,,,,,,,-1.58,,GW
1994. 01,6.438914663292561,,,,,,,,-0.16999999999999993,,GW
1994. 02,6.829883998156783,,,,,,,,0.07000000000000028,,GW
1994. 03,7.125611094482709,,,,,,,,0.17999999999999972,,GW
1994. 04,5.97555635176561,,,,,,,,1.9900000000000002,,GW
1994. 05,5.830589643819217,,,,,,,,1.5199999999999996,,GW
1994. 06,5.140436650105906,,,,,,,,2.9000000000000004,,GW
1994. 07,3.4765343663013537,,,,,,,,0.8399999999999999,,GW
1994. 08,4.353946125219332,,,,,,,,-0.19000000000000128,,GW
1994. 09,2.8778479691916603,,,,,,,,0.120000000000001,,GW
1994. 10,3.422469999055111,,,,,,,,1.5099999999999998,,GW
1994. 11,4.332778576291685,,,,,,,,0.629999999999999,,GW
1994. 12,3.9907919316187535,,,,,,,,2.84,,GW
1995. 01,3.047522598552188,,,,,,,,0.5800000000000001,,GW
1995. 02,2.3488432738516307,,,,,,,,-0.19000000000000128,,GW
1995. 03,3.827948910593526,,,,,,,,-0.4900000000000002,,GW
1995. 04,5.264249486207739,,,,,,,,-2.83,,GW
1995. 05,5.002070861101693,,,,,,,,-3.9499999999999993,,GW
1995. 06,4.92108579920616,,,,,,,,-0.48999999999999844,,GW
1995. 07,3.568062972338737,,,,,,,,-1.17,,GW
1995. 08,4.576802507836986,,,,,,,,-2.4499999999999993,,GW
1995. 09,4.635822095530462,,,,,,,,-1.3899999999999988,,GW
1995. 10,4.700273714358216,,,,,,,,-0.3200000000000003,,GW
1995. 11,5.505153142691266,,,,,,,,-1.17,,GW
1995. 12,6.42437257721078,,,,,,,,-0.6399999999999988,,GW
1996. 01,6.324276120625338,,,,,,,,-0.7300000000000004,,GW
1996. 02,5.987915626469853,,,,,,,,-1.8499999999999996,,GW
1996. 03,5.3377277042397475,,,,,,,,0.4299999999999997,,GW
1996. 04,5.341102644554008,,,,,,,,1.92,,GW
1996. 05,5.341102644554008,,,,,,,,2.25,,GW
1996. 06,4.626226583407678,,,,,,,,5.08,,GW
1996. 07,3.9903371420510814,,,,,,,,4.4399999999999995,,GW
1996. 08,3.758098597698334,,,,,,,,3.0,,GW
